#    frfrq      xpoln     frmsfd      msfdrat
#
1685.650635 328.435699 249.019531   1.318915 
1685.441528 332.292816 249.442062   1.332144 
1685.232666 337.114288 249.840302   1.349319 
1685.023560 341.100037 250.215683   1.363224 
1684.814697 345.342865 250.567673   1.378242 
1684.605591 349.328613 250.897614   1.392315 
1684.396606 352.992889 251.205292   1.405197 
1684.187622 356.014313 251.491364   1.415612 
1683.978638 358.842834 251.756256   1.425358 
1683.769653 361.285706 252.000427   1.433671 
1683.560669 363.535706 252.224289   1.441319 
1683.351807 365.078583 252.428192   1.446267 
1683.142822 366.235687 252.612793   1.449791 
1682.933838 367.007111 252.778412   1.451893 
1682.724854 367.264252 252.925461   1.452065 
1682.515869 367.007111 253.054413   1.450309 
1682.306763 366.428558 253.165741   1.447386 
1682.097900 365.271423 253.259735   1.442280 
1681.888794 363.921417 253.337021   1.436511 
1681.679932 361.928558 253.397858   1.428302 
1681.470825 359.614288 253.442841   1.418917 
1681.261963 357.042877 253.472290   1.408607 
1681.052979 354.085693 253.486710   1.396861 
1680.844116 350.871429 253.486526   1.384182 
1680.635010 347.464294 253.472137   1.370818 
1680.426147 343.671448 253.444046   1.356005 
1680.217041 339.878571 253.402634   1.341259 
1680.008057 336.535706 253.348343   1.328352 
1679.799072 332.614288 253.281662   1.313219 
1679.590088 328.757141 253.202972   1.298394 
1679.381104 324.835724 253.112732   1.283364 
1679.172119 320.785706 253.011368   1.267871 
1678.963135 317.378601 252.899323   1.254960 
1678.754150 313.521454 252.777039   1.240308 
1678.545288 310.114288 252.645050   1.227470 
1678.336304 305.614288 252.503601   1.210336 
1678.127319 302.785706 252.353210   1.199849 
1677.918213 299.957123 252.194275   1.189389 
1677.709351 296.678558 252.027435   1.177168 
1677.500244 293.785706 251.852798   1.166498 
1677.291382 290.764252 251.671188   1.155334 
1677.082275 288.000000 251.482605   1.145208 
1676.873413 285.364288 251.287964   1.135607 
1676.664307 282.857147 251.087189   1.126530 
1676.455444 280.478577 250.881256   1.117973 
1676.246460 278.164276 250.670212   1.109682 
1676.037476 275.978546 250.454575   1.101911 
1675.828491 273.857117 250.234833   1.094400 
1675.619507 271.928558 250.011429   1.087664 
1675.410522 269.999969 249.784775   1.080930 
1675.201538 268.264282 249.555298   1.074969 
1674.992554 266.528564 249.323456   1.069007 
1674.783569 265.049988 249.089676   1.064075 
1674.574585 263.507141 248.854370   1.058881 
1674.365601 261.964294 248.618042   1.053682 
1674.156616 260.742859 248.381088   1.049769 
1673.947632 259.521423 248.143951   1.045850 
1673.738770 258.300018 247.907211   1.041922 
1673.529663 257.207123 247.670883   1.038504 
1673.320801 256.114288 247.435944   1.035073 
1673.111694 255.150009 247.202301   1.032151 
1672.902832 254.250015 246.970947   1.029473 
1672.693726 253.349991 246.741730   1.026782 
1672.484863 252.385727 246.515656   1.023812 
1672.275757 251.742874 246.292664   1.022129 
1672.066772 250.778564 246.073532   1.019120 
1671.857788 250.328568 245.858597   1.018181 
1671.648804 249.492844 245.648285   1.015651 
1671.439941 249.107147 245.443146   1.014928 
1671.230957 248.528564 245.243378   1.013396 
1671.021973 248.014267 245.049576   1.012098 
1670.812988 247.500000 244.862137   1.010773 
1670.604004 247.050003 244.681488   1.009680 
1670.395020 246.664276 244.508087   1.008819 
1670.186035 246.278564 244.342392   1.007924 
1669.976929 245.892853 244.184738   1.006995 
1669.768066 245.571426 244.035797   1.006293 
1669.558960 245.250000 243.895691   1.005553 
1669.350098 244.992844 243.765198   1.005036 
1669.141113 244.671417 243.644470   1.004215 
1668.932251 244.349991 243.534134   1.003350 
1668.723145 244.157135 243.434311   1.002969 
1668.514282 244.028564 243.345139   1.002808 
1668.305176 243.707138 243.266129   1.001813 
1668.096313 243.642853 243.197159   1.001833 
1667.887207 243.449997 243.137802   1.001284 
1667.678223 243.385712 243.087875   1.001225 
1667.469238 243.257126 243.047043   1.000864 
1667.260254 243.128571 243.015015   1.000467 
1667.051270 243.000000 242.991531   1.000035 
1666.842285 242.871429 242.976273   0.999569 
1666.633423 242.871429 242.968964   0.999599 
1666.424438 242.807144 242.969345   0.999332 
1666.215454 242.742844 242.977097   0.999036 
1666.006348 242.485718 242.991959   0.997917 
1665.797485 242.164291 243.013596   0.996505 
1665.588379 242.614273 243.041779   0.998241 
1665.379517 242.485718 243.076172   0.997571 
1665.170410 242.550003 243.116562   0.997670 
1664.961548 242.292862 243.162567   0.996423 
1664.752441 242.485718 243.213989   0.997006 
1664.543579 242.550003 243.270447   0.997038 
1664.334595 242.550003 243.331741   0.996787 
1664.125732 242.550003 243.397507   0.996518 
1663.916626 242.485718 243.467545   0.995967 
1663.707642 242.485718 243.541534   0.995665 
1663.498657 242.678574 243.619171   0.996139 
1663.289673 242.678574 243.700150   0.995808 
1663.080688 242.742844 243.784210   0.995728 
1662.871704 242.742844 243.871078   0.995374 
1662.662720 242.742844 243.960449   0.995009 
1662.453735 242.742844 244.052063   0.994635 
1662.244751 242.871429 244.145584   0.994781 
1662.035767 242.807144 244.240753   0.994130 
1661.826904 242.871429 244.337250   0.994001 
1661.617798 242.871429 244.434921   0.993604 
1661.408936 242.935715 244.533249   0.993467 
1661.199829 243.000000 244.632202   0.993328 
1660.990967 243.064285 244.731277   0.993189 
1660.781860 243.064285 244.830353   0.992787 
1660.572998 243.064285 244.928986   0.992387 
1660.363892 243.064285 245.027069   0.991989 
1660.155029 243.128571 245.124115   0.991859 
1659.945923 243.192856 245.220062   0.991733 
1659.736938 243.257126 245.314438   0.991614 
1659.528076 243.257126 245.407211   0.991239 
1659.319092 243.257126 245.498520   0.990870 
1659.110107 243.192856 245.588333   0.990246 
1658.901123 243.385712 245.676697   0.990675 
1658.692139 242.678574 245.763672   0.987447 
1658.483154 243.449997 245.849258   0.990241 
1658.274170 243.385712 245.933533   0.989640 
1658.065186 243.514282 246.016525   0.989829 
1657.856201 243.642853 246.098282   0.990023 
1657.647095 243.707138 246.178879   0.989960 
1657.438232 243.707138 246.258240   0.989641 
1657.229126 243.771439 246.336578   0.989587 
1657.020386 243.835709 246.413696   0.989538 
1656.811279 243.899994 246.489914   0.989493 
1656.602417 243.964279 246.565048   0.989452 
1656.393311 243.964279 246.639328   0.989154 
1656.184448 243.964279 246.712601   0.988860 
1655.975342 243.964279 246.785110   0.988570 
1655.766357 243.964279 246.856735   0.988283 
1655.557373 244.157135 246.927567   0.988780 
1655.348389 244.221436 246.997650   0.988760 
1655.139404 244.414291 247.067047   0.989263 
1654.930420 244.478561 247.135757   0.989248 
1654.721558 244.607147 247.203812   0.989496 
1654.512573 244.735718 247.271347   0.989746 
1654.303589 244.800003 247.338333   0.989737 
1654.094604 244.864288 247.404816   0.989731 
1653.885620 244.928574 247.470840   0.989727 
1653.676514 244.928574 247.536484   0.989465 
1653.467651 244.992844 247.601669   0.989464 
1653.258545 245.185699 247.666611   0.989983 
1653.049683 245.250000 247.731171   0.989984 
1652.840576 245.378555 247.795578   0.990246 
1652.631714 245.378555 247.859680   0.989990 
1652.422607 245.250000 247.923706   0.989216 
1652.213867 245.635712 247.987457   0.990517 
1652.004761 245.635712 248.051254   0.990262 
1651.795898 245.828568 248.114929   0.990785 
1651.586792 245.442856 248.178665   0.988976 
1651.377808 245.828568 248.242416   0.990276 
1651.168823 246.085709 248.306244   0.991057 
1650.959839 246.214279 248.370178   0.991320 
1650.750854 246.278564 248.434280   0.991323 
1650.541870 246.342865 248.498581   0.991325 
1650.332886 246.407135 248.563126   0.991326 
1650.123901 246.599991 248.627960   0.991843 
1649.915039 246.664276 248.693039   0.991842 
1649.706055 246.792862 248.758560   0.992098 
1649.497070 246.792862 248.824493   0.991835 
1649.287964 246.985718 248.890915   0.992345 
1649.079102 246.985718 248.957733   0.992079 
1648.869995 247.242844 249.025162   0.992843 
1648.661133 247.242844 249.093079   0.992572 
1648.452026 247.371429 249.161682   0.992815 
1648.243164 247.500000 249.230881   0.993055 
1648.034058 247.692856 249.300842   0.993550 
1647.825195 247.757126 249.371460   0.993526 
1647.616089 247.885712 249.442947   0.993757 
1647.407227 247.949982 249.515152   0.993727 
1647.198242 248.271439 249.588272   0.994724 
1646.989258 248.207138 249.662262   0.994172 
1646.780273 248.335709 249.737213   0.994388 
1646.571289 248.464279 249.813156   0.994600 
1646.362305 248.592850 249.890121   0.994809 
1646.153320 248.657120 249.968155   0.994755 
1645.944336 248.785721 250.047287   0.994955 
1645.735352 248.721420 250.127579   0.994378 
1645.526367 248.978561 250.209045   0.995082 
1645.317261 248.914291 250.291779   0.994496 
1645.108521 249.235703 250.375641   0.995447 
1644.899414 249.235703 250.460983   0.995108 
1644.690552 249.492844 250.547592   0.995790 
1644.481445 249.621429 250.635651   0.995953 
1644.272583 249.750000 250.725067   0.996111 
1644.063477 249.878555 250.816071   0.996262 
1643.854614 250.007126 250.908463   0.996408 
1643.645508 250.135712 251.002548   0.996547 
1643.436523 250.264282 251.098160   0.996679 
1643.227539 250.392853 251.195419   0.996805 
1643.018555 248.785721 251.294373   0.990017 
1642.809570 250.457138 251.395050   0.996269 
1642.600708 250.842865 251.497421   0.997397 
1642.391724 250.907150 251.601654   0.997240 
1642.182739 251.100006 251.707733   0.997586 
1641.973755 251.228561 251.815689   0.997668 
1641.764771 251.421417 251.925598   0.997999 
1641.555786 251.485718 252.037476   0.997811 
1641.346680 251.614288 252.151443   0.997870 
1641.137817 251.871429 252.267319   0.998431 
1640.928711 252.064285 252.385406   0.998728 
1640.719849 252.192871 252.505524   0.998762 
1640.510742 252.385727 252.627914   0.999041 
1640.302002 252.514282 252.752350   0.999058 
1640.092896 252.642853 252.879227   0.999065 
1639.884033 252.900009 253.008301   0.999572 
1639.674927 253.028580 253.139832   0.999561 
1639.466064 253.285721 253.273590   1.000048 
1639.256958 253.028580 253.409927   0.998495 
1639.047974 252.707138 253.548676   0.996681 
1638.838989 253.800003 253.689896   1.000434 
1638.630005 253.864288 253.833679   1.000121 
1638.421021 254.185715 253.980057   1.000810 
1638.212036 254.057144 254.129074   0.999717 
1638.003052 254.507156 254.280746   1.000890 
1637.794189 254.699997 254.435043   1.001041 
1637.585205 254.892868 254.592178   1.001181 
1637.376099 255.021439 254.752197   1.001057 
1637.167236 254.957153 254.914856   1.000166 
1636.958130 255.214279 255.080597   1.000524 
1636.749268 255.664291 255.249069   1.001627 
1636.540161 255.857147 255.420685   1.001709 
1636.331299 256.049988 255.595093   1.001780 
1636.122192 256.178558 255.772751   1.001587 
1635.913330 256.371429 255.953201   1.001634 
1635.704224 256.500000 256.136871   1.001418 
1635.495483 256.692841 256.323212   1.001442 
1635.286377 256.757141 256.512787   1.000953 
1635.077393 256.950012 256.705139   1.000954 
1634.868408 257.078583 256.900421   1.000694 
1634.659424 257.335693 257.098511   1.000923 
1634.450439 257.592865 257.299469   1.001140 
1634.241455 257.785736 257.503174   1.001097 
1634.032471 258.042877 257.709717   1.001293 
1633.823486 258.300018 257.918945   1.001477 
1633.614502 258.492859 258.130890   1.001402 
1633.405518 258.750000 258.345581   1.001565 
1633.196533 258.942841 258.562897   1.001469 
1632.987549 259.200012 258.782867   1.001612 
1632.778687 258.428558 259.005249   0.997773 
1632.569580 257.078583 259.230560   0.991699 
1632.360718 256.500000 259.458099   0.988599 
1632.151611 256.628571 259.688416   0.988217 
1631.942749 256.564270 259.920990   0.987086 
1631.733643 257.271423 260.156311   0.988911 
1631.524780 257.335693 260.393829   0.988256 
1631.315674 257.785736 260.633972   0.989072 
1631.106689 258.107147 260.876404   0.989385 
1630.897705 258.428558 261.121155   0.989688 
1630.688843 258.685730 261.368103   0.989737 
1630.479858 258.942841 261.617493   0.989776 
1630.270874 259.264282 261.869202   0.990053 
1630.061890 259.585724 262.123138   0.990320 
1629.852905 260.035706 262.379272   0.991068 
1629.643921 260.549988 262.637604   0.992051 
1629.434937 260.742859 262.898102   0.991802 
1629.225952 260.871429 263.160736   0.991301 
1629.016846 261.064270 263.425629   0.991036 
1628.807983 261.642883 263.692322   0.992228 
1628.598877 262.607147 263.961365   0.994870 
1628.390015 264.600006 264.232117   1.001392 
1628.181030 265.435699 264.505005   1.003519 
1627.972168 265.821442 264.779724   1.003934 
1627.763062 266.207123 265.056732   1.004340 
1627.554199 266.528564 265.335297   1.004497 
1627.345093 266.785706 265.616089   1.004403 
1627.136108 267.107147 265.898590   1.004545 
1626.927124 265.049988 266.182892   0.995744 
1626.718140 399.921417 266.468994   1.500818 
1626.509155 530.742798 266.756927   1.989612 
1626.300171 269.035706 267.046600   1.007449 
1626.091187 339.685730 267.337921   1.270623 
1625.882324 278.550018 267.630829   1.040799 
1625.673340 344.378601 267.925598   1.285352 
1625.464355 309.149994 268.221985   1.152590 
1625.255371 309.792877 268.519958   1.153705 
1625.046265 384.364288 268.819733   1.429822 
1624.837402 276.299988 269.120667   1.026677 
1624.628296 343.414276 269.423523   1.274626 
1624.419434 316.028595 269.727509   1.171659 
1624.210327 281.250031 270.033295   1.041538 
1624.001465 400.692841 270.340240   1.482180 
1623.792358 293.014313 270.648926   1.082636 
1623.583496 280.928589 270.958618   1.036795 
1623.374512 340.392853 271.269897   1.254812 
1623.165649 284.978577 271.582306   1.049327 
1622.956543 287.357147 271.896393   1.056863 
1622.747559 340.521423 272.211578   1.250944 
1622.538574 289.285706 272.528046   1.061490 
1622.329590 309.664307 272.845673   1.134943 
1622.120605 301.949982 273.164581   1.105378 
1621.911621 293.014313 273.484589   1.071411 
1621.702637 298.735687 273.805786   1.091050 
1621.493652 298.478546 274.128052   1.088829 
